CAR,STEP,TIME,LEADER_AND_DISTANCE,DRIVING_DISTANCE,WIFI_SIGNAL_STRENGTH,MESH_SIGNAL_STRENGTH,DATAGRAM_COUNT,WIFI_DATAGRAM,MESH_DATAGRAM
car2,11,1.1,"(None, None)",None,-60,,2,[],"[""b'21:47:43.109763 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 451\\nE.....@.@.+..........U#.....{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 22, 'generated_time': 1.1}, 'body': {'station_id': 0.6505194474354129, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.112795 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 442\\nE....@@.@............t#....l{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 21, 'generated_time': 1.1}, 'body': {'station_id': 0.13870046384590295, 'leader': null, 'speed': 2.5999999999999996, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [6.529999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,12,1.2,"(None, None)",None,-60,,2,[],"[""b'21:47:43.211727 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 452\\nE.....@.@.+..........U#...\\'_{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 24, 'generated_time': 1.2}, 'body': {'station_id': 0.23266500200715723, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.212427 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 442\\nE....K@.@..{.........t#....j{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 23, 'generated_time': 1.2}, 'body': {'station_id': 0.38623254754100234, 'leader': null, 'speed': 2.8599999999999994, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [6.815999999999998, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,13,1.3,"(None, None)",None,-60,,2,[],"[""b'21:47:43.311222 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 452\\nE.....@.@.+..........U#....E{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 26, 'generated_time': 1.3}, 'body': {'station_id': 0.27950185948009665, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.314181 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 441\\nE....S@.@..t.........t#...w.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 25, 'generated_time': 1.3}, 'body': {'station_id': 0.36759876864123575, 'leader': null, 'speed': 3.119999999999999, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [7.127999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,14,1.4,"(None, None)",None,-60,,2,[],"[""b'21:47:43.412594 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 452\\nE.....@.@.+..........U#...!K{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 28, 'generated_time': 1.4}, 'body': {'station_id': 0.05963363538641153, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.413449 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 440\\nE....e@.@..c.........t#...p.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 27, 'generated_time': 1.4}, 'body': {'station_id': 0.6531281903871349, 'leader': null, 'speed': 3.379999999999999, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [7.465999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,15,1.5,"(None, None)",None,-60,,2,[],"[""b'21:47:43.510942 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 453\\nE.....@.@.+..........U#.....{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 30, 'generated_time': 1.5}, 'body': {'station_id': 0.018385110178809505, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.512523 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 440\\nE....n@.@..Z.........t#...j.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 29, 'generated_time': 1.5}, 'body': {'station_id': 0.5274588577450791, 'leader': null, 'speed': 3.639999999999999, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [7.829999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,16,1.6,"(None, None)",None,-60,,2,[],"[""b'21:47:43.612012 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 451\\nE....)@.@.+..........U#.....{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 32, 'generated_time': 1.6}, 'body': {'station_id': 0.3976617894555554, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.613005 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 440\\nE.....@.@..F.........t#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 31, 'generated_time': 1.6}, 'body': {'station_id': 0.602974546164957, 'leader': null, 'speed': 3.8999999999999986, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [8.219999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,17,1.7,"(None, None)",None,-60,,2,[],"[""b'21:47:43.708930 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 451\\nE....2@.@.+..........U#.....{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 34, 'generated_time': 1.7}, 'body': {'station_id': 0.8925706492219558, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.712059 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 427\\nE.....@.@..R.........t#....I{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 33, 'generated_time': 1.7}, 'body': {'station_id': 0.575479722691745, 'leader': null, 'speed': 4.159999999999998, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [8.636, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,18,1.8,"(None, None)",None,-60,,2,[],"[""b'21:47:43.810700 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 451\\nE....G@.@.+u.........U#.....{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 36, 'generated_time': 1.8}, 'body': {'station_id': 0.9140549467978066, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.812381 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 428\\nE.....@.@..=.........t#....K{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 35, 'generated_time': 1.8}, 'body': {'station_id': 0.7557609153514904, 'leader': null, 'speed': 4.419999999999998, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [9.078, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,19,1.9,"(None, None)",None,-60,,2,[],"[""b'21:47:43.909690 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 451\\nE...._@.@.+].........U#.....{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 38, 'generated_time': 1.9}, 'body': {'station_id': 0.6450568823425916, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:43.912672 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 428\\nE.....@.@..;.........t#....J{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 37, 'generated_time': 1.9}, 'body': {'station_id': 0.4487118689113544, 'leader': null, 'speed': 4.679999999999998, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [9.546, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,20,2.0,"(None, None)",None,-60,,2,[],"[""b'21:47:44.011229 IP 192.168.0.2.60757 > 192.168.0.255.9090: UDP, length 452\\nE....s@.@.+H.........U#....S{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 40, 'generated_time': 2.0}, 'body': {'station_id': 0.37429939478312324, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'21:47:44.015628 IP 192.168.0.1.49524 > 192.168.0.255.9090: UDP, length 429\\nE.....@.@............t#....'{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 39, 'generated_time': 2.0}, 'body': {'station_id': 0.10461159548934862, 'leader': null, 'speed': 4.939999999999998, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [10.04, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
