FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car2,451,DENM,1,22.1,22.2,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 3, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [97.93900018650194, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car2,451,DENM,2,22.2,22.3,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 3, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [98.39400017717685, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car2,451,DENM,3,22.3,22.4,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 3, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [98.80400016785174, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car2,451,DENM,4,22.4,22.5,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 3, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [99.16900015852664, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car2,451,DENM,5,22.5,22.6,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 3, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [99.48900014920156, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
