CAR,STEP,TIME,LEADER_AND_DISTANCE,DRIVING_DISTANCE,WIFI_SIGNAL_STRENGTH,MESH_SIGNAL_STRENGTH,DATAGRAM_COUNT,BYTES_COUNT,WIFI_DATAGRAM,MESH_DATAGRAM
car2,1,0.1,"(None, None)",None,-60,,1,451,[],"[""b'14:41:44.816739 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 451\\nE...,.@.@.............#...&j{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 2, 'generated_time': 0.1}, 'body': {'station_id': 0.26425115594497284, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,2,0.2,"(None, None)",None,-60,,1,450,[],"[""b'14:41:44.840067 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 450\\nE...,.@.@..)..........#...~G{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 4, 'generated_time': 0.2}, 'body': {'station_id': 0.3597167371608081, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,3,0.3,"(None, None)",None,-60,,2,877,[],"[""b'14:41:44.932449 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 450\\nE...,.@.@.............#....;{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 6, 'generated_time': 0.3}, 'body': {'station_id': 0.8596380140792392, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:44.935251 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 427\\nE...B.@.@.t...........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 5, 'generated_time': 0.3}, 'body': {'station_id': 0.33248474353169155, 'leader': null, 'speed': 0.52, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.177999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,4,0.4,"(None, None)",None,-60,,2,875,[],"[""b'14:41:45.031881 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 449\\nE...,.@.@.............#...E.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 8, 'generated_time': 0.4}, 'body': {'station_id': 0.968564285288821, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.034471 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 426\\nE...B+@.@.t...........#...`.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 7, 'generated_time': 0.4}, 'body': {'station_id': 0.7881353770571861, 'leader': null, 'speed': 0.78, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.255999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,5,0.5,"(None, None)",None,-60,,2,876,[],"[""b'14:41:45.131937 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 450\\nE...,.@.@.............#....M{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 10, 'generated_time': 0.5}, 'body': {'station_id': 0.343955253023822, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.134919 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 426\\nE...B<@.@.t...........#...`.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 9, 'generated_time': 0.5}, 'body': {'station_id': 0.6734163268138895, 'leader': null, 'speed': 1.04, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.359999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,6,0.6,"(None, None)",None,-60,,2,878,[],"[""b'14:41:45.234122 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 452\\nE...,.@.@.............#...P.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 12, 'generated_time': 0.6}, 'body': {'station_id': 0.38467030093339405, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.236843 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 426\\nE...BT@.@.t...........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 11, 'generated_time': 0.6}, 'body': {'station_id': 0.4387553523358837, 'leader': null, 'speed': 1.3, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.489999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,7,0.7,"(None, None)",None,-60,,2,879,[],"[""b'14:41:45.332527 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 452\\nE...,.@.@.............#...T.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 14, 'generated_time': 0.7}, 'body': {'station_id': 0.21535632022901463, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.336710 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 427\\nE...B`@.@.tu..........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 13, 'generated_time': 0.7}, 'body': {'station_id': 0.9590764292852206, 'leader': null, 'speed': 1.56, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.645999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,8,0.8,"(None, None)",None,-60,,1,427,[],"[""b'14:41:45.435496 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 427\\nE...Bv@.@.t_..........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 15, 'generated_time': 0.8}, 'body': {'station_id': 0.9513790845965377, 'leader': null, 'speed': 1.82, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.827999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,9,1.0,"(None, None)",None,-60,,2,865,[],"[""b'14:41:45.632822 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 451\\nE...-0@.@.............#...'r{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 19, 'generated_time': 1.0}, 'body': {'station_id': 0.5472297130177335, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.635925 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 414\\nE...B.@.@.tH..........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 18, 'generated_time': 1.0}, 'body': {'station_id': 0.8018472254663198, 'leader': null, 'speed': 2.34, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [6.27, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,10,1.1,"(None, None)",None,-60,,2,892,[],"[""b'14:41:45.732936 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 451\\nE...-6@.@.............#....t{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 21, 'generated_time': 1.1}, 'body': {'station_id': 0.5126984983855307, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.736237 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 441\\nE...B.@.@.t...........#...@U{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 20, 'generated_time': 1.1}, 'body': {'station_id': 0.2714649986364347, 'leader': null, 'speed': 2.5999999999999996, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [6.529999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
