STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
1;0.1s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
1;0.1s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
2;0.2s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
2;0.2s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
3;0.3s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
3;0.3s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
4;0.4s;car1;No leader;No leader;Not initialised;"[b'15:19:54.730298 IP 192.168.1.1.39573 > 192.168.1.255.9090: UDP, length 97\n', b'E..}B.@.@.s...........#..i*+CAM::192.168.1.1::{""time"": ""0.2"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:19:54.735326 IP 192.168.1.2.38199 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.&H.........7#.....CAM::192.168.1.2::{""time"": ""0.2"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:19:55.131276 IP 192.168.1.1.39573 > 192.168.1.255.9090: UDP, length 97\n', b'E..}B.@.@.sO..........#..i)+CAM::192.168.1.1::{""time"": ""0.3"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:19:55.139032 IP 192.168.1.2.38199 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.&..........7#.....CAM::192.168.1.2::{""time"": ""0.3"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:19:55.475318 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`\t...5.......................................5..............._ipps._tcp.local......_ipp......\n']";-77.0@car1-wlan1
4;0.4s;car2;No leader;No leader;Not initialised;"[b'15:19:54.730962 IP 192.168.1.2.38199 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.&H.........7#.....CAM::192.168.1.2::{""time"": ""0.2"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:19:54.733715 IP 192.168.1.1.39573 > 192.168.1.255.9090: UDP, length 97\n', b'E..}B.@.@.s...........#..i*+CAM::192.168.1.1::{""time"": ""0.2"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:19:55.132766 IP 192.168.1.2.38199 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.&..........7#.....CAM::192.168.1.2::{""time"": ""0.3"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:19:55.135099 IP 192.168.1.1.39573 > 192.168.1.255.9090: UDP, length 97\n', b'E..}B.@.@.sO..........#..i)+CAM::192.168.1.1::{""time"": ""0.3"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:19:55.475343 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`\t...5.......................................5..............._ipps._tcp.local......_ipp......\n']";-77.0@car2-wlan1
5;0.5s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
5;0.5s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
