STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;INCOMING_MSG;OUTGOING_MSG;SIGNAL_RANGE
43;4.3s;car1;No leader;No leader;13.727999999999994;[];[];48.61501904177178
43;4.3s;car2;car1;2.0499999999999954;0.0779999999999994;[];[];48.61501904177178
44;4.4s;car1;No leader;No leader;14.585999999999993;[];[];48.61501904177178
44;4.4s;car2;car1;2.829999999999994;0.1559999999999997;[];[];48.61501904177178
45;4.5s;car1;No leader;No leader;15.469999999999992;[];[];48.61501904177178
45;4.5s;car2;car1;3.6099999999999923;0.2599999999999998;[];[];48.61501904177178
46;4.6s;car1;No leader;No leader;16.379999999999992;[];[];48.61501904177178
46;4.6s;car2;car1;4.389999999999993;0.3899999999999997;[];[];48.61501904177178
47;4.7s;car1;No leader;No leader;17.315999999999992;[];[];48.61501904177178
47;4.7s;car2;car1;5.169999999999993;0.5459999999999994;[];[];48.61501904177178
48;4.8s;car1;No leader;No leader;18.27799999999999;[];[];48.61501904177178
48;4.8s;car2;car1;5.949999999999992;0.7279999999999998;[];[];48.61501904177178
49;4.9s;car1;No leader;No leader;19.26599999999999;[];[];48.61501904177178
49;4.9s;car2;car1;6.7299999999999915;0.9359999999999999;[];[];48.61501904177178
50;5.0s;car1;No leader;No leader;20.27999999999999;[];[];48.61501904177178
50;5.0s;car2;car1;7.509999999999991;1.17;[];[];48.61501904177178
51;5.1s;car1;No leader;No leader;21.31999999999999;[];[];48.61501904177178
51;5.1s;car2;car1;8.28999999999999;1.4299999999999997;[];[];48.61501904177178
52;5.2s;car1;No leader;No leader;22.38599999999999;[];[];48.61501904177178
52;5.2s;car2;car1;9.06999999999999;1.7159999999999993;[];[];48.61501904177178
53;5.3s;car1;obs;69.22200000000001;23.477999999999987;[];[];48.61501904177178
53;5.3s;car2;car1;9.849999999999987;2.0279999999999996;[];[];48.61501904177178
54;5.4s;car1;obs;68.10400000000001;24.595999999999986;[];[];48.61501904177178
54;5.4s;car2;car1;10.629999999999987;2.3659999999999997;[];[];48.61501904177178
55;5.5s;car1;obs;66.96000000000002;25.739999999999984;[];[];48.61501904177178
55;5.5s;car2;car1;11.409999999999986;2.7299999999999995;[];[];48.61501904177178
56;5.6s;car1;obs;65.79000000000002;26.909999999999982;[];[];48.61501904177178
56;5.6s;car2;car1;12.189999999999984;3.119999999999999;[];[];48.61501904177178
57;5.7s;car1;obs;64.59400000000002;28.10599999999998;[];[];48.61501904177178
57;5.7s;car2;car1;12.969999999999981;3.5359999999999996;[];[];48.61501904177178
58;5.8s;car1;obs;63.37200000000003;29.327999999999978;[];[];48.61501904177178
58;5.8s;car2;car1;13.749999999999979;3.9779999999999998;[];[];48.61501904177178
59;5.9s;car1;obs;62.124000000000024;30.57599999999998;[];[];48.61501904177178
59;5.9s;car2;car1;14.52999999999998;4.446;[];[];48.61501904177178
60;6.0s;car1;obs;60.85000000000002;31.84999999999998;[];[];48.61501904177178
60;6.0s;car2;car1;15.309999999999981;4.9399999999999995;[];[];48.61501904177178
61;6.1s;car1;obs;59.550000000000026;33.14999999999998;[];[];48.61501904177178
61;6.1s;car2;car1;16.08999999999998;5.459999999999999;[];[];48.61501904177178
62;6.2s;car1;obs;58.246693129878395;34.45330687012161;[];[];48.61501904177178
62;6.2s;car2;car1;16.84730687012161;6.0059999999999985;[];[];48.61501904177178
63;6.3s;car1;obs;56.943386259756764;35.75661374024324;[];[];48.61501904177178
63;6.3s;car2;car1;17.57861374024324;6.577999999999998;[];[];48.61501904177178
64;6.4s;car1;obs;55.64007938963513;37.05992061036487;[];[];48.61501904177178
64;6.4s;car2;car1;18.283920610364873;7.175999999999997;[];[];48.61501904177178
65;6.5s;car1;obs;54.3367725195135;38.3632274804865;[];[];48.61501904177178
65;6.5s;car2;car1;18.963227480486506;7.799999999999995;[];[];48.61501904177178
66;6.6s;car1;obs;53.03346564939187;39.66653435060813;[];[];48.61501904177178
66;6.6s;car2;car1;19.616534350608134;8.449999999999996;[];[];48.61501904177178
67;6.7s;car1;obs;51.73015877927024;40.96984122072976;[];[];48.61501904177178
67;6.7s;car2;car1;20.243841220729767;9.125999999999996;[];[];48.61501904177178
68;6.8s;car1;obs;50.42685190914861;42.27314809085139;[];[];48.61501904177178
68;6.8s;car2;car1;20.845148090851396;9.827999999999996;[];[];48.61501904177178
69;6.9s;car1;obs;49.12354503902698;43.576454960973024;[];"['{""command"": ""CHANGE_TO"", ""parameters"": [1]}']";48.61501904177178
69;6.9s;car2;car1;21.42045496097303;10.555999999999996;"['{""command"": ""CHANGE_TO"", ""parameters"": [1]}']";[];48.61501904177178
70;7.0s;car1;car3;12.744135889698688;44.879761831094655;[];[];48.61501904177178
70;7.0s;car2;car1;21.969761831094658;11.309999999999997;[];[];48.61501904177178
71;7.1s;car1;car3;12.94465382964317;46.183068701216285;[];[];48.61501904177178
71;7.1s;car2;car1;22.493068701216288;12.089999999999998;[];[];48.61501904177178
72;7.2s;car1;car3;13.145171769587654;47.486375571337916;[];[];48.61501904177178
72;7.2s;car2;car1;22.990375571337918;12.895999999999999;[];[];48.61501904177178
73;7.3s;car1;car3;13.345689709532136;48.78968244145955;[];[];48.61501904177178
73;7.3s;car2;car1;23.461682441459548;13.728;[];[];48.61501904177178
74;7.4s;car1;car3;13.54620764947662;50.09298931158118;[];[];48.61501904177178
74;7.4s;car2;No leader;No leader;14.586;[];[];48.61501904177178
75;7.5s;car1;car3;13.746725589421104;51.39629618170281;[];[];48.61501904177178
75;7.5s;car2;No leader;No leader;15.47;[];[];48.61501904177178
76;7.6s;car1;car3;13.94724352936559;52.69960305182443;[];[];48.61501904177178
76;7.6s;car2;No leader;No leader;16.380000000000003;[];[];48.61501904177178
77;7.7s;car1;car3;14.147761469310076;54.00290992194606;[];[];48.61501904177178
77;7.7s;car2;No leader;No leader;17.316000000000003;[];[];48.61501904177178
78;7.8s;car1;car3;14.348279409254562;55.30621679206769;[];[];48.61501904177178
78;7.8s;car2;No leader;No leader;18.278;[];[];48.61501904177178
79;7.9s;car1;car3;14.548797349199049;56.60952366218932;[];[];48.61501904177178
79;7.9s;car2;No leader;No leader;19.266;[];[];48.61501904177178
80;8.0s;car1;car3;14.749315289143535;57.91283053231095;[];[];48.61501904177178
80;8.0s;car2;No leader;No leader;20.28;[];[];48.61501904177178
81;8.1s;car1;car3;14.949833229088021;59.21613740243257;[];[];48.61501904177178
