STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
13;1.3s;car1;No leader;No leader;0.07800000000000007;"[b'15:08:49.314463 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}i.@.@.L$.........5#..iD.CAM::192.168.1.1::{""time"": ""0.2"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.323351 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.2"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.412815 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j.@.@.L..........5#..iC.CAM::192.168.1.1::{""time"": ""0.3"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.419095 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.3"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.510998 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j.@.@.L..........5#..iB.CAM::192.168.1.1::{""time"": ""0.4"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.517912 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.4"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.611451 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j1@.@.K..........5#..iA.CAM::192.168.1.1::{""time"": ""0.5"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.617198 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.5"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.712208 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j:@.@.K..........5#..i@.CAM::192.168.1.1::{""time"": ""0.6"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.716920 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.6"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.812233 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}jF@.@.K..........5#..i?.CAM::192.168.1.1::{""time"": ""0.7"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.816875 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....7@.@.............#.....CAM::192.168.1.2::{""time"": ""0.7"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.913623 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j]@.@.K..........5#..i>.CAM::192.168.1.1::{""time"": ""0.8"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.918533 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....I@.@.............#.....CAM::192.168.1.2::{""time"": ""0.8"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:50.012884 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}js@.@.K..........5#..i=.CAM::192.168.1.1::{""time"": ""0.9"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:50.018185 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....X@.@.............#.....CAM::192.168.1.2::{""time"": ""0.9"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:50.112664 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j~@.@.K..........5#..iE.CAM::192.168.1.1::{""time"": ""1.0"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:50.117663 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....Z@.@.............#.....CAM::192.168.1.2::{""time"": ""1.0"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:50.212771 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j.@.@.K..........5#..iD.CAM::192.168.1.1::{""time"": ""1.1"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:50.218314 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....k@.@.............#.....CAM::192.168.1.2::{""time"": ""1.1"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:50.312588 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 100\n', b'E...j.@.@.K..........5#..l.{CAM::192.168.1.1::{""time"": ""1.2"", ""position"": ""(1.026, -4.8, 0)"", ""speed"": ""0.26"", ""leader"": ""None""}\n']";-77.0@car1-wlan1
13;1.3s;car2;No leader;No leader;Not initialised;"[b'15:08:49.316742 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}i.@.@.L$.........5#..iD.CAM::192.168.1.1::{""time"": ""0.2"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.319281 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.2"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.414138 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.3"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.418102 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j.@.@.L..........5#..iC.CAM::192.168.1.1::{""time"": ""0.3"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.512298 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.4"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.514419 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j.@.@.L..........5#..iB.CAM::192.168.1.1::{""time"": ""0.4"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.614418 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.5"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.614945 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j1@.@.K..........5#..iA.CAM::192.168.1.1::{""time"": ""0.5"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.713448 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E.....@.@.............#.....CAM::192.168.1.2::{""time"": ""0.6"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.714529 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j:@.@.K..........5#..i@.CAM::192.168.1.1::{""time"": ""0.6"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.813523 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....7@.@.............#.....CAM::192.168.1.2::{""time"": ""0.7"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.814733 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}jF@.@.K..........5#..i?.CAM::192.168.1.1::{""time"": ""0.7"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:49.915254 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....I@.@.............#.....CAM::192.168.1.2::{""time"": ""0.8"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:49.915942 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j]@.@.K..........5#..i>.CAM::192.168.1.1::{""time"": ""0.8"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:50.014398 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....X@.@.............#.....CAM::192.168.1.2::{""time"": ""0.9"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:50.015305 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}js@.@.K..........5#..i=.CAM::192.168.1.1::{""time"": ""0.9"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:50.113999 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....Z@.@.............#.....CAM::192.168.1.2::{""time"": ""1.0"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:50.115353 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j~@.@.K..........5#..iE.CAM::192.168.1.1::{""time"": ""1.0"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:50.214057 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....k@.@.............#.....CAM::192.168.1.2::{""time"": ""1.1"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:50.215262 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 97\n', b'E..}j.@.@.K..........5#..iD.CAM::192.168.1.1::{""time"": ""1.1"", ""position"": ""(1.0, -4.8, 0)"", ""speed"": ""0.0"", ""leader"": ""None""}\n', b'15:08:50.313932 IP 192.168.1.2.33694 > 192.168.1.255.9090: UDP, length 126\n', b'E....l@.@.............#.....CAM::192.168.1.2::{""time"": ""1.2"", ""position"": ""(-1073741824.0, -1073741824.0, 0)"", ""speed"": ""-1073741824.0"", ""leader"": ""None""}\n', b'15:08:50.315094 IP 192.168.1.1.32821 > 192.168.1.255.9090: UDP, length 100\n', b'E...j.@.@.K..........5#..l.{CAM::192.168.1.1::{""time"": ""1.2"", ""position"": ""(1.026, -4.8, 0)"", ""speed"": ""0.26"", ""leader"": ""None""}\n']";-77.0@car2-wlan1
14;1.4s;car1;No leader;No leader;0.15600000000000014;[];-77.0@car1-wlan1
14;1.4s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
15;1.5s;car1;No leader;No leader;0.26000000000000023;[];-77.0@car1-wlan1
15;1.5s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
16;1.6s;car1;No leader;No leader;0.3900000000000001;[];-77.0@car1-wlan1
16;1.6s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
17;1.7s;car1;No leader;No leader;0.5460000000000003;[];-77.0@car1-wlan1
17;1.7s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
