STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
1;0.1s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
1;0.1s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
2;0.2s;car1;No leader;No leader;Not initialised;[b'12:09:39.410909 IP6 fe80::ff:fe00:500 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........h\t........................\n', b'12:09:39.412639 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n'];-77.0@car1-wlan1
2;0.2s;car2;No leader;No leader;Not initialised;[b'12:09:39.405584 IP6 fe80::ff:fe00:500 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........h\t........................\n', b'12:09:39.405755 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n'];-77.0@car2-wlan1
3;0.3s;car1;No leader;No leader;Not initialised;[b'12:09:40.071711 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'12:09:40.313066 IP6 fe80::ff:fe00:500 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........h\t........................\n', b'12:09:42.443666 IP6 fe80::ff:fe00:300 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................u.............\n', b'12:09:43.741519 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n', b'12:09:52.694368 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n', b'12:09:56.091472 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'12:09:57.212619 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'12:09:57.403841 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'12:09:57.800282 IP6 :: > ff02::1:ff00:0: ICMP6, neighbor solicitation, who has fe80::ff:fe00:0, length 32\n', b'`.... :....................................[.......................cxQ3.\n', b'12:09:58.122947 IP6 :: > ff02::1:ff00:1: ICMP6, neighbor solicitation, who has 2001::1, length 32\n', b'`.... :...................................8..... ...................1.*[\n', b'12:09:58.319830 IP6 fe80::ff:fe00:300 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................u.............\n', b'12:09:58.774106 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'12:09:58.774141 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'12:09:59.094486 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'12:10:03.189481 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'12:10:11.892334 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'12:10:11.892374 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n', b'12:10:28.130656 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'12:10:30.325528 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'12:10:32.363952 IP6 fe80::ff:fe00:300 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................u.............\n', b'12:10:48.752756 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n', b'12:11:05.140408 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n'];-77.0@car1-wlan1
3;0.3s;car2;No leader;No leader;Not initialised;[b'12:09:40.071741 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'12:09:40.299908 IP6 fe80::ff:fe00:500 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........h\t........................\n', b'12:09:42.471990 IP6 fe80::ff:fe00:300 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................u.............\n', b'12:09:43.729855 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n', b'12:09:52.683927 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n', b'12:09:56.091716 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'12:09:57.212637 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'12:09:57.403857 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'12:09:57.800300 IP6 :: > ff02::1:ff00:0: ICMP6, neighbor solicitation, who has fe80::ff:fe00:0, length 32\n', b'`.... :....................................[.......................cxQ3.\n', b'12:09:58.122966 IP6 :: > ff02::1:ff00:1: ICMP6, neighbor solicitation, who has 2001::1, length 32\n', b'`.... :...................................8..... ...................1.*[\n', b'12:09:58.329958 IP6 fe80::ff:fe00:300 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................u.............\n', b'12:09:58.774120 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'12:09:58.774148 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'12:09:59.094496 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'12:10:03.189490 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'12:10:11.885044 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n', b'12:10:11.892349 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'12:10:28.130664 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'12:10:30.325537 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'12:10:32.367069 IP6 fe80::ff:fe00:300 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................u.............\n', b'12:10:48.750938 IP6 fe80::ff:fe00:500 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................q.............\n', b'12:11:05.140422 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n'];-77.0@car2-wlan1
4;0.4s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
4;0.4s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
5;0.5s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
5;0.5s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
