STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
1;0.1s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
1;0.1s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
2;0.2s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
2;0.2s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
3;0.3s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
3;0.3s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
4;0.4s;car1;No leader;No leader;Not initialised;"[b'12:15:11.075048 EAPOL key (3) v2, len 95\n', b""..._..............U.}.#w..3.....J9xi..,..a.'G7.T...................................................\n"", b'12:15:11.075229 EAPOL key (3) v1, len 117\n', b'...u..\n', b""..........$[+.........8h..d)q....>.1%'k.H......................................gfq.m..{.....0.....................\n"", b'12:15:11.082989 EAPOL key (3) v2, len 151\n', b'..................U.}.#w..3.....J9xi..,..a.\'G7.T...................................{5..H"".\\.EM....8B....{...M;......c!m....\n', b'....v.W../.t<.|..&.Y......;..\n', b'.\n', b'12:15:11.083207 EAPOL key (3) v1, len 95\n', b'..._..\n', b'..............................................................................?...NA..O.....\n', b'12:15:11.091631 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........l.........................\n', b'12:15:11.855010 IP6 :: > ff02::1:ff00:300: ICMP6, neighbor solicitation, who has fe80::ff:fe00:300, length 32\n', b'`.... :...................................<.......................b5K^~.\n', b'12:15:11.948566 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........l.........................\n', b'12:15:12.876165 IP6 fe80::ff:fe00:300 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........l\t........................\n', b'12:15:12.876343 IP6 fe80::ff:fe00:300 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................u.............\n']";-77.0@car1-wlan1
4;0.4s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
5;0.5s;car1;No leader;No leader;Not initialised;[b'12:15:13.570948 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'12:15:13.743927 IP6 fe80::ff:fe00:300 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........l\t........................\n', b'12:15:14.107129 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'12:15:14.248971 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n'];-77.0@car1-wlan1
5;0.5s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
