STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
1;0.1s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
1;0.1s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
2;0.2s;car1;No leader;No leader;Not initialised;"[b'tcpdump: verbose output suppressed, use -v or -vv for full protocol decode\n', b'listening on car1-wlan0, link-type EN10MB (Ethernet), capture size 262144 bytes\n', b'21:03:23.410684 EAPOL key (3) v2, len 95\n', b'..._.................p....<..A....?.9.O.3.~ZC..3...................................................\n', b'21:03:23.410913 EAPOL key (3) v1, len 117\n', b'...u..\n', b'................1N.[...4`\n', b'....I-.Q....J.....................................E.7.""k.i.....,..0.....................\n', b'21:03:23.462176 EAPOL key (3) v2, len 151\n', b'.....................p....<..A....?.9.O.3.~ZC..3.....................................),C..r..w..$.8D..X........T..P.......ny..-..............].V&....!.....\n', b'21:03:23.462284 EAPOL key (3) v1, len 95\n', b'..._..\n', b'..........................................................................gn...i.@p.`4......\n', b'21:03:23.476511 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........m.........................\n', b'21:03:23.681798 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........k.........................\n', b'21:03:24.253047 IP6 fe80::ff:fe00:400 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........j\t........................\n', b'21:03:24.253055 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:03:24.273824 IP6 :: > ff02::1:ff00:200: ICMP6, neighbor solicitation, who has fe80::ff:fe00:200, length 32\n', b'`.... :...................................z..........................)..\n', b'21:03:24.366398 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........m.........................\n', b'21:03:24.827192 IP6 fe80::ff:fe00:400 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........j\t........................\n', b'21:03:25.296806 IP6 fe80::ff:fe00:200 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........n\t........................\n', b'21:03:25.296948 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:03:25.326831 IP6 fe80::ff:fe00:200 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........n\t........................\n', b'21:03:28.632060 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:03:29.648222 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:03:31.396448 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........i.........................\n', b'21:03:31.616794 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'21:03:32.001862 IP6 :: > ff02::1:ff00:1: ICMP6, neighbor solicitation, who has 2001::1, length 32\n', b'`.... :....................................Q.... .................m~.k.`\n', b'21:03:32.222409 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'21:03:32.230522 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........i.........................\n', b'21:03:32.230573 IP6 :: > ff02::1:ff00:600: ICMP6, neighbor solicitation, who has fe80::ff:fe00:600, length 32\n', b'`.... :...................................s........................X...W\n', b'21:03:32.656503 IP6 :: > ff02::1:ff00:0: ICMP6, neighbor solicitation, who has fe80::ff:fe00:0, length 32\n', b'`.... :...................................\\s...........................""\n', b'21:03:33.202746 IP6 fe80::ff:fe00:600 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........f\t........................\n', b'21:03:33.202811 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n', b'21:03:33.597210 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'21:03:33.597215 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'21:03:34.018916 IP6 fe80::ff:fe00:600 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........f\t........................\n', b'21:03:34.137159 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'21:03:36.851899 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:03:37.662950 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n', b'21:03:37.842707 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:03:37.850947 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'21:03:39.342034 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'21:03:45.777833 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'21:03:46.877051 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n', b'21:03:54.991212 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:03:55.001450 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:04:01.137975 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'21:04:05.232893 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n', b'21:04:11.433989 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'21:04:29.807213 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:04:29.853626 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:04:33.954830 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n']";-60@car1-wlan1
2;0.2s;car2;No leader;No leader;Not initialised;"[b'tcpdump: verbose output suppressed, use -v or -vv for full protocol decode\n', b'listening on car2-wlan0, link-type EN10MB (Ethernet), capture size 262144 bytes\n', b'21:03:23.131683 EAPOL key (3) v2, len 95\n', b'..._..............]..... ...&8%j$D..........v..\t...................................................\n', b'21:03:23.131892 EAPOL key (3) v1, len 117\n', b'...u..\n', b'..............Xr.v}Ai.. ....3r.)V..W.R.}.q.................................V.a:.jTC.........0.....................\n', b'21:03:23.143327 EAPOL key (3) v2, len 151\n', b'..................]..... ...&8%j$D..........v..\t.................................&...,HI.)........8.4..6....|....g....bC.V...G.....]t.g.Dl\\Dq...K.....t....\n', b'21:03:23.143391 EAPOL key (3) v1, len 95\n', b'..._..\n', b'...........................................................................HG$q...[L.*b.....\n', b'21:03:23.155326 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........k.........................\n', b'21:03:23.233480 IP6 :: > ff02::1:ff00:400: ICMP6, neighbor solicitation, who has fe80::ff:fe00:400, length 32\n', b'`.... :....................................v......................{...c.\n', b'21:03:23.325869 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'21:03:23.538967 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........m.........................\n', b'21:03:23.663793 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........k.........................\n', b'21:03:24.239657 IP6 fe80::ff:fe00:400 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........j\t........................\n', b'21:03:24.239801 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:03:24.283816 IP6 :: > ff02::1:ff00:200: ICMP6, neighbor solicitation, who has fe80::ff:fe00:200, length 32\n', b'`.... :...................................z..........................)..\n', b'21:03:24.374845 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........m.........................\n', b'21:03:24.813864 IP6 fe80::ff:fe00:400 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........j\t........................\n', b'21:03:25.328562 IP6 fe80::ff:fe00:200 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........n\t........................\n', b'21:03:25.339186 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:03:25.339434 IP6 fe80::ff:fe00:200 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........n\t........................\n', b'21:03:28.623496 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:03:29.730391 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:03:31.396471 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........i.........................\n', b'21:03:31.616802 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'21:03:32.001941 IP6 :: > ff02::1:ff00:1: ICMP6, neighbor solicitation, who has 2001::1, length 32\n', b'`.... :....................................Q.... .................m~.k.`\n', b'21:03:32.226437 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........mo............................................\n', b'21:03:32.230537 IP6 :: > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........i.........................\n', b'21:03:32.230585 IP6 :: > ff02::1:ff00:600: ICMP6, neighbor solicitation, who has fe80::ff:fe00:600, length 32\n', b'`.... :...................................s........................X...W\n', b'21:03:32.656522 IP6 :: > ff02::1:ff00:0: ICMP6, neighbor solicitation, who has fe80::ff:fe00:0, length 32\n', b'`.... :...................................\\s...........................""\n', b'21:03:33.202766 IP6 fe80::ff:fe00:600 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........f\t........................\n', b'21:03:33.202822 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n', b'21:03:33.597221 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'21:03:33.597225 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'21:03:34.018943 IP6 fe80::ff:fe00:600 > ff02::16: HBH ICMP6, multicast listener report v2, 1 group record(s), length 28\n', b'`....$..................................:.........f\t........................\n', b'21:03:34.137180 IP6 fe80::ff:fe00:0 > ff02::16: HBH ICMP6, multicast listener report v2, 2 group record(s), length 48\n', b'`....8..................................:.........o.............................................\n', b'21:03:36.813793 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:03:37.662966 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n', b'21:03:37.850968 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'21:03:37.851059 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:03:39.342057 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'21:03:45.777841 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'21:03:46.877647 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n', b'21:03:54.991231 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:03:55.001472 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:04:01.137995 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n', b'21:04:05.232910 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n', b'21:04:11.440002 IP6 fe80::200:ff:fe11:1.mdns > ff02::fb.mdns: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)\n', b'`....5.......................................5..............._ipps._tcp.local......_ipp......\n', b'21:04:29.807193 IP6 fe80::ff:fe00:400 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................s.............\n', b'21:04:29.853553 IP6 fe80::ff:fe00:200 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................w.............\n', b'21:04:33.954853 IP6 fe80::ff:fe00:0 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................{.............\n']";-60@car2-wlan1
3;0.3s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
3;0.3s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
4;0.4s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
4;0.4s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
5;0.5s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
5;0.5s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
