STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCPDUMP_MSG;SIGNAL_RANGE
91;9.1s;car;No leader;No leader;87.53324855276288;[];48.61501904177178
92;9.2s;car;No leader;No leader;88.38123052961876;[];48.61501904177178
93;9.3s;car;No leader;No leader;89.22921250647464;[];48.61501904177178
94;9.4s;car;No leader;No leader;90.07719448333052;[];48.61501904177178
95;9.5s;car;No leader;No leader;90.8875526684184;[];48.61501904177178
96;9.6s;car;No leader;No leader;91.65291085350626;[];48.61501904177178
97;9.7s;car;No leader;No leader;92.37326903859412;[];48.61501904177178
98;9.8s;car;No leader;No leader;93.04862722368199;[];48.61501904177178
99;9.9s;car;No leader;No leader;93.67898540876986;[];48.61501904177178
100;10.0s;car;No leader;No leader;94.33534359385773;[];48.61501904177178
101;10.1s;car;No leader;No leader;95.0177017789456;[];48.61501904177178
102;10.2s;car;No leader;No leader;95.72605996403347;[];48.61501904177178
103;10.3s;car;No leader;No leader;96.46041814912132;[];48.61501904177178
104;10.4s;car;No leader;No leader;97.22077633420919;[];48.61501904177178
105;10.5s;car;No leader;No leader;98.00713451929705;[];48.61501904177178
106;10.6s;car;No leader;No leader;98.81949270438493;[];48.61501904177178
107;10.7s;car;No leader;No leader;99.6578508894728;[];48.61501904177178
108;10.8s;car;No leader;No leader;100.50583286632867;[];48.61501904177178
109;10.9s;car;No leader;No leader;101.35381484318455;[];48.61501904177178
110;11.0s;car;No leader;No leader;102.20179682004043;[];48.61501904177178
111;11.1s;car;No leader;No leader;103.07577879689632;[];48.61501904177178
112;11.2s;car;No leader;No leader;103.9757607737522;[];48.61501904177178
113;11.3s;car;No leader;No leader;104.90174275060808;[];48.61501904177178
