STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCPDUMP_MSG;SIGNAL_RANGE
76;7.6s;car;No leader;No leader;66.99486543900441;[];48.61501904177178
77;7.7s;car;No leader;No leader;67.97217414632044;[];48.61501904177178
78;7.8s;car;No leader;No leader;68.90448285363647;[];48.61501904177178
79;7.9s;car;No leader;No leader;69.79179156095249;[];48.61501904177178
80;8.0s;car;No leader;No leader;70.63410026826851;[];48.61501904177178
81;8.1s;car;No leader;No leader;71.43140897558453;[];48.61501904177178
82;8.2s;car;No leader;No leader;72.18371768290055;[];48.61501904177178
83;8.3s;car;No leader;No leader;72.89102639021657;[];48.61501904177178
84;8.4s;car;No leader;No leader;73.5533350975326;[];48.61501904177178
85;8.5s;car;No leader;No leader;74.17064380484862;[];48.61501904177178
86;8.6s;car;No leader;No leader;74.74295251216465;[];48.61501904177178
87;8.7s;car;No leader;No leader;75.27026121948067;[];48.61501904177178
88;8.8s;car;No leader;No leader;75.7525699267967;[];48.61501904177178
89;8.9s;car;No leader;No leader;76.18987863411272;[];48.61501904177178
90;9.0s;car;No leader;No leader;76.58218734142874;[];48.61501904177178
91;9.1s;car;No leader;No leader;76.92949604874475;[];48.61501904177178
92;9.2s;car;No leader;No leader;77.23180475606077;[];48.61501904177178
93;9.3s;car;No leader;No leader;77.4891134633768;[];48.61501904177178
94;9.4s;car;No leader;No leader;77.70142217069282;[];48.61501904177178
95;9.5s;car;No leader;No leader;77.86873087800885;[];48.61501904177178
96;9.6s;car;No leader;No leader;77.99103958532487;[];48.61501904177178
97;9.7s;car;No leader;No leader;78.06834829264089;[];48.61501904177178
98;9.8s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
99;9.9s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
100;10.0s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
101;10.1s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
102;10.2s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
103;10.3s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
104;10.4s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
105;10.5s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
106;10.6s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
107;10.7s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
108;10.8s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
109;10.9s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
110;11.0s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
111;11.1s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
112;11.2s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
113;11.3s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
114;11.4s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
115;11.5s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
116;11.6s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
117;11.7s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
118;11.8s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
119;11.9s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
120;12.0s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
121;12.1s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
122;12.2s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
123;12.3s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
124;12.4s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
125;12.5s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
126;12.6s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
127;12.7s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
128;12.8s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
129;12.9s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
130;13.0s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
131;13.1s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
132;13.2s;car;No leader;No leader;78.10065699995691;[];48.61501904177178
133;13.3s;car;No leader;No leader;78.12665699995691;[];48.61501904177178
134;13.4s;car;No leader;No leader;78.17865699995691;[];48.61501904177178
135;13.5s;car;No leader;No leader;78.25665699995692;[];48.61501904177178
136;13.6s;car;No leader;No leader;78.36065699995692;[];48.61501904177178
137;13.7s;car;No leader;No leader;78.49065699995691;[];48.61501904177178
138;13.8s;car;No leader;No leader;78.64665699995692;[];48.61501904177178
139;13.9s;car;No leader;No leader;78.82865699995692;[];48.61501904177178
140;14.0s;car;No leader;No leader;79.03665699995692;[];48.61501904177178
141;14.1s;car;No leader;No leader;79.27065699995691;[];48.61501904177178
142;14.2s;car;No leader;No leader;79.53065699995692;[];48.61501904177178
143;14.3s;car;No leader;No leader;79.81665699995692;[];48.61501904177178
144;14.4s;car;No leader;No leader;80.12865699995692;[];48.61501904177178
145;14.5s;car;No leader;No leader;80.46665699995691;[];48.61501904177178
146;14.6s;car;No leader;No leader;80.83065699995691;[];48.61501904177178
147;14.7s;car;No leader;No leader;81.22065699995692;[];48.61501904177178
148;14.8s;car;No leader;No leader;81.63665699995691;[];48.61501904177178
149;14.9s;car;No leader;No leader;82.0786569999569;[];48.61501904177178
150;15.0s;car;No leader;No leader;82.54665699995691;[];48.61501904177178
151;15.1s;car;No leader;No leader;83.04065699995691;[];48.61501904177178
152;15.2s;car;No leader;No leader;83.5606569999569;[];48.61501904177178
153;15.3s;car;No leader;No leader;84.10665699995691;[];48.61501904177178
154;15.4s;car;No leader;No leader;84.67865699995691;[];48.61501904177178
155;15.5s;car;No leader;No leader;85.27665699995691;[];48.61501904177178
156;15.6s;car;No leader;No leader;85.90065699995691;[];48.61501904177178
157;15.7s;car;No leader;No leader;86.55065699995691;[];48.61501904177178
158;15.8s;car;No leader;No leader;87.22665699995692;[];48.61501904177178
159;15.9s;car;No leader;No leader;87.92865699995691;[];48.61501904177178
160;16.0s;car;No leader;No leader;88.65665699995691;[];48.61501904177178
161;16.1s;car;No leader;No leader;89.41065699995691;[];48.61501904177178
162;16.2s;car;No leader;No leader;90.19065699995691;[];48.61501904177178
163;16.3s;car;No leader;No leader;90.99473161107042;[];48.61501904177178
164;16.4s;car;No leader;No leader;91.75380622218393;[];48.61501904177178
165;16.5s;car;No leader;No leader;92.46788083329743;[];48.61501904177178
166;16.6s;car;No leader;No leader;93.13695544441093;[];48.61501904177178
167;16.7s;car;No leader;No leader;93.76103005552444;[];48.61501904177178
168;16.8s;car;No leader;No leader;94.41110466663794;[];48.61501904177178
169;16.9s;car;No leader;No leader;95.08717927775145;[];48.61501904177178
170;17.0s;car;No leader;No leader;95.78925388886495;[];48.61501904177178
171;17.1s;car;No leader;No leader;96.51732849997846;[];48.61501904177178
172;17.2s;car;No leader;No leader;97.27140311109196;[];48.61501904177178
173;17.3s;car;No leader;No leader;98.05147772220546;[];48.61501904177178
174;17.4s;car;No leader;No leader;98.85755233331896;[];48.61501904177178
175;17.5s;car;No leader;No leader;99.68962694443248;[];48.61501904177178
176;17.6s;car;No leader;No leader;100.53760892128835;[];48.61501904177178
177;17.7s;car;No leader;No leader;101.38559089814423;[];48.61501904177178
178;17.8s;car;No leader;No leader;102.23357287500012;[];48.61501904177178
179;17.9s;car;No leader;No leader;103.107554851856;[];48.61501904177178
180;18.0s;car;No leader;No leader;104.00753682871188;[];48.61501904177178
181;18.1s;car;No leader;No leader;104.93351880556776;[];48.61501904177178
182;18.2s;car;No leader;No leader;105.88550078242363;[];48.61501904177178
183;18.3s;car;No leader;No leader;106.86348275927952;[];48.61501904177178
184;18.4s;car;No leader;No leader;107.86746473613539;[];48.61501904177178
185;18.5s;car;No leader;No leader;108.89744671299127;[];48.61501904177178
186;18.6s;car;No leader;No leader;109.95342868984716;[];48.61501904177178
187;18.7s;car;No leader;No leader;111.03541066670303;[];48.61501904177178
188;18.8s;car;No leader;No leader;112.14339264355891;[];48.61501904177178
189;18.9s;car;No leader;No leader;113.27737462041479;[];48.61501904177178
190;19.0s;car;No leader;No leader;114.43735659727068;[];48.61501904177178
191;19.1s;car;No leader;No leader;115.62333857412655;[];48.61501904177178
192;19.2s;car;No leader;No leader;116.83532055098243;[];48.61501904177178
193;19.3s;car;No leader;No leader;118.07330252783831;[];48.61501904177178
194;19.4s;car;No leader;No leader;119.3372845046942;[];48.61501904177178
195;19.5s;car;No leader;No leader;120.62726648155007;[];48.61501904177178
196;19.6s;car;No leader;No leader;121.94324845840595;[];48.61501904177178
197;19.7s;car;No leader;No leader;123.21423043526184;[];48.61501904177178
198;19.8s;car;No leader;No leader;124.44021241211772;[];48.61501904177178
199;19.9s;car;No leader;No leader;125.62119438897359;[];48.61501904177178
200;20.0s;car;No leader;No leader;126.75717636582948;[];48.61501904177178
201;20.1s;car;No leader;No leader;127.84815834268535;[];48.61501904177178
202;20.2s;car;No leader;No leader;128.89414031954124;[];48.61501904177178
203;20.3s;car;No leader;No leader;129.89512229639712;[];48.61501904177178
204;20.4s;car;No leader;No leader;130.851104273253;[];48.61501904177178
205;20.5s;car;No leader;No leader;131.76208625010887;[];48.61501904177178
206;20.6s;car;No leader;No leader;132.62806822696476;[];48.61501904177178
207;20.7s;car;No leader;No leader;133.44905020382063;[];48.61501904177178
208;20.8s;car;No leader;No leader;134.22503218067652;[];48.61501904177178
209;20.9s;car;No leader;No leader;134.9560141575324;[];48.61501904177178
210;21.0s;car;No leader;No leader;135.64199613438828;[];48.61501904177178
211;21.1s;car;No leader;No leader;136.28297811124415;[];48.61501904177178
212;21.2s;car;No leader;No leader;136.87896008810003;[];48.61501904177178
213;21.3s;car;No leader;No leader;137.42994206495592;[];48.61501904177178
214;21.4s;car;No leader;No leader;137.9359240418118;[];48.61501904177178
215;21.5s;car;No leader;No leader;138.39690601866766;[];48.61501904177178
216;21.6s;car;No leader;No leader;138.81288799552357;[];48.61501904177178
217;21.7s;car;No leader;No leader;139.18386997237945;[];48.61501904177178
218;21.8s;car;No leader;No leader;139.50985194923533;[];48.61501904177178
219;21.9s;car;No leader;No leader;139.79083392609118;[];48.61501904177178
220;22.0s;car;No leader;No leader;140.02681590294708;[];48.61501904177178
221;22.1s;car;No leader;No leader;140.21779787980296;[];48.61501904177178
222;22.2s;car;No leader;No leader;140.36377985665882;[];48.61501904177178
223;22.3s;car;No leader;No leader;140.46476183351473;[];48.61501904177178
