STEP,TIME,DRIVING_DISTANCE,LEADER_AND_DISTANCE,WIFI_STRENGTH,CAM_COUNT,DENM_COUNT,CAM_BYTES,DENM_BYTES
1,0.1,None,"(None, None)",-77.0,0,0,0,0
2,0.2,None,"(None, None)",-77.0,0,0,0,0
3,0.3,None,"(None, None)",-77.0,0,0,0,0
4,0.4,None,"(None, None)",-77.0,0,0,0,0
5,0.5,None,"(None, None)",-77.0,0,0,0,0
6,0.6,None,"(None, None)",-77.0,0,0,0,0
7,0.7,None,"(None, None)",-77.0,0,0,0,0
8,0.8,None,"(None, None)",-77.0,0,0,0,0
9,0.9,None,"(None, None)",-77.0,0,0,0,0
10,1.0,None,"(None, None)",-77.0,0,0,0,0
11,1.1,None,"(None, None)",-77.0,0,0,0,0
12,1.2,None,"(None, None)",-77.0,0,0,0,0
13,1.3,None,"(None, None)",-77.0,0,0,0,0
14,1.4,None,"(None, None)",-77.0,0,0,0,0
15,1.5,None,"(None, None)",-77.0,0,0,0,0
16,1.6,None,"(None, None)",-77.0,0,0,0,0
17,1.7,None,"(None, None)",-77.0,0,0,0,0
18,1.8,None,"(None, None)",-77.0,0,0,0,0
19,1.9,None,"(None, None)",-77.0,0,0,0,0
20,2.0,None,"(None, None)",-77.0,0,0,0,0
21,2.1,None,"(None, None)",-77.0,0,0,0,0
22,2.2,0.0259999999999998,"(None, None)",-76.0,0,0,0,0
23,2.3,0.0779999999999994,"(None, None)",-76.0,0,0,0,0
24,2.4,0.1559999999999997,"(None, None)",-76.0,0,0,0,0
25,2.5,0.2599999999999998,"(None, None)",-76.0,0,0,0,0
26,2.6,0.3899999999999997,"(None, None)",-76.0,0,0,0,0
27,2.7,0.5459999999999994,"(None, None)",-76.0,0,0,0,0
28,2.8,0.7279999999999998,"(None, None)",-76.0,0,0,0,0
29,2.9,0.9359999999999999,"(None, None)",-76.0,0,0,0,0
30,3.0,1.17,"(None, None)",-76.0,0,0,0,0
31,3.1,1.4299999999999997,"(None, None)",-76.0,0,0,0,0
32,3.2,1.7159999999999993,"(None, None)",-76.0,0,0,0,0
33,3.3,2.0279999999999996,"(None, None)",-76.0,0,0,0,0
34,3.4,2.3659999999999997,"(None, None)",-76.0,0,0,0,0
35,3.5,2.7299999999999995,"(None, None)",-76.0,0,0,0,0
36,3.6,3.119999999999999,"(None, None)",-76.0,0,0,0,0
37,3.7,3.5359999999999996,"(None, None)",-76.0,0,0,0,0
38,3.8,3.9779999999999998,"(None, None)",-76.0,0,0,0,0
39,3.9,4.446,"(None, None)",-76.0,0,0,0,0
40,4.0,4.9399999999999995,"(None, None)",-76.0,0,0,0,0
41,4.1,5.459999999999999,"(None, None)",-75.0,0,0,0,0
42,4.2,6.0059999999999985,"(None, None)",-75.0,0,0,0,0
43,4.3,6.577999999999998,"(None, None)",-75.0,0,0,0,0
44,4.4,7.175999999999997,"(None, None)",-75.0,0,0,0,0
45,4.5,7.799999999999995,"(None, None)",-75.0,0,0,0,0
46,4.6,8.449999999999996,"(None, None)",-75.0,0,0,0,0
47,4.7,9.125999999999996,"(None, None)",-75.0,0,0,0,0
48,4.8,9.827999999999996,"(None, None)",-75.0,0,0,0,0
49,4.9,10.555999999999996,"(None, None)",-74.0,0,0,0,0
50,5.0,11.309999999999997,"(None, None)",-74.0,0,0,0,0
51,5.1,12.089999999999998,"(None, None)",-74.0,0,0,0,0
52,5.2,12.895999999999999,"(None, None)",-74.0,0,0,0,0
53,5.3,13.728,"(None, None)",-74.0,0,0,0,0
54,5.4,14.586,"(None, None)",-74.0,0,0,0,0
55,5.5,15.47,"(None, None)",-73.0,0,0,0,0
56,5.6,16.380000000000003,"(None, None)",-73.0,0,0,0,0
57,5.7,17.316000000000003,"(None, None)",-73.0,0,0,0,0
58,5.8,18.278,"(None, None)",-73.0,0,0,0,0
59,5.9,19.266,"(None, None)",-73.0,0,0,0,0
60,6.0,20.28,"(None, None)",-72.0,0,0,0,0
61,6.1,21.32,"('obs', 67.28)",-72.0,0,0,0,0
62,6.2,22.385999999999996,"('obs', 66.214)",-72.0,0,0,0,0
63,6.3,23.477999999999994,"('obs', 65.12200000000001)",-72.0,0,0,0,0
64,6.4,24.595999999999997,"('obs', 64.004)",-71.0,0,0,0,0
65,6.5,25.739999999999995,"('obs', 62.860000000000014)",-71.0,0,0,0,0
66,6.6,26.90999999999999,"('obs', 61.69000000000001)",-71.0,0,0,0,0
67,6.7,28.105999999999987,"('obs', 60.494000000000014)",-71.0,0,0,0,0
68,6.8,29.32799999999999,"('obs', 59.27200000000001)",-70.0,0,0,0,0
69,6.9,30.575999999999986,"('obs', 58.024000000000015)",-70.0,0,0,0,0
70,7.0,31.849999999999987,"('obs', 56.750000000000014)",-70.0,0,0,0,0
71,7.1,33.149999999999984,"('obs', 55.45000000000002)",-69.0,0,0,0,0
72,7.2,34.475999999999985,"('obs', 54.12400000000002)",-69.0,0,0,0,0
73,7.3,35.82799999999998,"('obs', 52.77200000000002)",-69.0,0,0,0,0
74,7.4,37.20599999999998,"('obs', 51.39400000000002)",-68.0,0,0,0,0
75,7.5,38.60943569847576,"('obs', 49.990564301524245)",-68.0,0,0,0,0
76,7.6,40.01287139695153,"('obs', 48.58712860304847)",-68.0,0,0,0,0
77,7.7,41.41630709542731,"('obs', 47.183692904572695)",-67.0,0,0,0,0
78,7.8,42.81974279390308,"('obs', 45.78025720609692)",-67.0,0,0,0,0
79,7.9,44.22317849237886,"('obs', 44.376821507621145)",-67.0,0,0,0,0
80,8.0,45.62661419085463,"(None, None)",-66.0,0,0,0,0
81,8.1,47.03004988933041,"(None, None)",-66.0,0,0,0,0
82,8.2,48.43348558780618,"(None, None)",-65.0,0,0,0,0
83,8.3,49.83692128628195,"(None, None)",-65.0,0,0,0,0
84,8.4,51.240356984757724,"(None, None)",-64.0,0,0,0,0
85,8.5,52.6437926832335,"(None, None)",-64.0,0,1,0,450
86,8.6,54.047228381709274,"('car1', 17.218512072547714)",-64.0,0,1,0,450
87,8.7,55.45066408018504,"('car1', 17.118383244193573)",-62.0,0,1,0,450
88,8.8,56.85409977866082,"('car1', 17.01825441583943)",-62.0,0,1,0,450
89,8.9,58.25753547713659,"('car1', 16.918125587485285)",-62.0,0,1,0,450
90,9.0,59.65899201252417,"('car1', 16.819975922219335)",-61.0,0,1,0,450
91,9.1,61.05805465363697,"('car1', 16.724220151228163)",-61.0,0,1,0,450
92,9.2,62.45478178814024,"('car1', 16.630799886846532)",-60.0,0,1,0,450
93,9.3,63.84921659439654,"('car1', 16.53967195071186)",-60.0,0,1,0,450
94,9.4,65.24137320224948,"('car1', 16.450822212980555)",-59.0,0,1,0,450
95,9.5,66.63130856665913,"('car1', 16.364193718692533)",-59.0,0,1,0,451
96,9.6,68.01907821871158,"('car1', 16.279730936761712)",-58.0,0,1,0,451
97,9.7,69.40473630121576,"('car1', 16.19737972437916)",-58.0,0,1,0,450
98,9.8,70.78833560341039,"('car1', 16.117087292306174)",-57.0,0,1,0,451
99,9.9,72.16992759480317,"('car1', 16.03880217103501)",-57.0,0,1,0,451
100,10.0,73.54956245816419,"('car1', 15.962474177795624)",-56.0,0,1,0,452
101,10.1,74.92728912169423,"('car1', 15.888054384387218)",-56.0,0,1,0,453
102,10.2,76.30315529038904,"('car1', 15.815495085814028)",-55.0,0,1,0,453
103,10.3,77.67720747661954,"('car1', 15.744749769705162)",-55.0,0,0,0,0
104,10.4,79.0494910299473,"('car1', 15.67577308649902)",-54.0,0,1,0,452
105,10.5,80.42005016619493,"('car1', 15.60852082037303)",-54.0,0,1,0,453
106,10.6,81.78892799578938,"('car1', 15.542949860900194)",-53.0,0,1,0,453
107,10.7,83.15616655139704,"('car1', 15.479018175414176)",-53.0,0,1,0,453
108,10.8,84.52180681486752,"('car1', 15.41668478206531)",-52.0,0,1,0,453
109,10.9,85.8858887435043,"('car1', 15.355909723550162)",-52.0,0,1,0,453
110,11.0,87.2484512956782,"('car1', 15.296654041497902)",-52.0,0,1,0,453
111,11.1,88.60953245580077,"('car1', 15.238879751496938)",-51.0,0,1,0,453
112,11.2,89.96916925867333,"('car1', 15.182549818746004)",-51.0,0,1,0,453
113,11.3,91.32739781322712,"('car1', 15.127628134313841)",-51.0,0,1,0,453
114,11.4,92.68425332567011,"('car1', 15.074079491992485)",-51.0,0,1,0,453
115,11.5,94.03977012205507,"('car1', 15.021869565729158)",-51.0,0,1,0,452
116,11.6,95.39398167028344,"('car1', 14.970964887622415)",-51.0,0,1,0,453
117,11.7,96.74692060155913,"('car1', 14.92133282646834)",-51.0,0,1,0,453
118,11.8,98.09861873130598,"('car1', 14.87294156684312)",-51.0,0,1,0,453
119,11.9,99.4491070795622,"('car1', 14.825760088708531)",-51.0,0,1,0,452
120,12.0,100.79839816807794,"('car1', 14.77977587031441)",-51.0,0,1,0,453
121,12.1,102.14651017407077,"('car1', 14.73497073444322)",-51.0,0,1,0,453
122,12.2,103.49347333042586,"('car1', 14.691314448209749)",-51.0,0,1,0,451
123,12.3,104.83931709482626,"('car1', 14.648777553930984)",-52.0,0,0,0,0
124,12.4,106.18407016962975,"('car1', 14.607331349249108)",-52.0,0,0,0,0
125,12.5,107.52776052123629,"('car1', 14.56694786776421)",-52.0,0,0,0,0
126,12.6,108.87041539895858,"('car1', 14.52759986016354)",-53.0,0,0,0,0
127,12.7,110.21206135340907,"('car1', 14.48926077583468)",-53.0,0,0,0,0
128,12.8,111.55272425441524,"('car1', 14.451904744950149)",-53.0,0,0,0,0
129,12.9,112.89242930847564,"('car1', 14.415506561011377)",-54.0,0,0,0,0
130,13.0,114.23120107576838,"('car1', 14.380041663840267)",-54.0,0,0,0,0
131,13.1,115.56906348672341,"('car1', 14.345486123006875)",-55.0,0,0,0,0
132,13.2,116.90603985816988,"('car1', 14.311816621682034)",-55.0,0,0,0,0
133,13.3,118.24215290906956,"('car1', 14.279010440903981)",-56.0,0,0,0,0
134,13.4,119.57742477584674,"('car1', 14.247045444248442)",-56.0,0,0,0,0
135,13.5,120.91187702732503,"('car1', 14.215900062891766)",-57.0,0,0,0,0
136,13.6,122.24553067928139,"('car1', 14.185553281057054)",-57.0,0,0,0,0
137,13.7,123.57840620862657,"('car1', 14.15598462183349)",-58.0,0,0,0,0
138,13.8,124.91052356722244,"('car1', 14.127174133359247)",-58.0,0,0,0,0
139,13.9,126.24190219534462,"('car1', 14.099102375358697)",-59.0,0,0,0,0
140,14.0,127.57256103480012,"('car1', 14.071750406024833)",-59.0,0,0,0,0
141,14.1,128.9025185417086,"('car1', 14.04509976923799)",-60.0,0,0,0,0
142,14.2,130.23179269895587,"('car1', 14.019132482112347)",-60.0,0,0,0,0
143,14.3,131.5604010283281,"('car1', 13.99383102286172)",-60.0,0,0,0,0
144,14.4,132.88836060233496,"('car1', 13.969178318976496)",-61.0,0,0,0,0
145,14.5,134.21568805572937,"('car1', 13.94515773570371)",-62.0,0,0,0,0
146,14.6,135.54239959673217,"('car1', 13.92175306482254)",-62.0,0,0,0,0
147,14.7,136.86851101796879,"('car1', 13.898948513707545)",-62.0,0,0,0,0
148,14.8,138.19403770712555,"('car1', 13.87672869467243)",-63.0,0,0,0,0
