FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car1,425,CAM,3,0.2,0.3,"{'station_id': 0.8291389917633112, 'leader': None, 'speed': 0.26, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.1259999999999994, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,424,CAM,5,0.3,0.4,"{'station_id': 0.7650500956566519, 'leader': None, 'speed': 0.52, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.177999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,423,CAM,7,0.4,0.5,"{'station_id': 0.009638473154499838, 'leader': None, 'speed': 0.78, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.255999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,423,CAM,9,0.5,0.6,"{'station_id': 0.06359670257694772, 'leader': None, 'speed': 1.04, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.359999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,423,CAM,11,0.6,0.7,"{'station_id': 0.8036874068916711, 'leader': None, 'speed': 1.3, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.489999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,425,CAM,13,0.7,0.8,"{'station_id': 0.05986742813705692, 'leader': None, 'speed': 1.56, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.645999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,423,CAM,15,0.8,0.9,"{'station_id': 0.04548559291020515, 'leader': None, 'speed': 1.82, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.827999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,414,CAM,17,0.9,1.0,"{'station_id': 0.46690040702828417, 'leader': None, 'speed': 2.08, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [6.036, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,411,CAM,19,1.0,1.1,"{'station_id': 0.8603900521255663, 'leader': None, 'speed': 2.34, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [6.27, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,438,CAM,21,1.1,1.2,"{'station_id': 0.7868721555580607, 'leader': None, 'speed': 2.5999999999999996, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [6.529999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
