FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car1,442,CAM,118,4.0,4.1,"{'station_id': 0.15550142329550654, 'leader': 'car2', 'speed': 10.139999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-49.620000000000005, -1.6, 0], 'elevation': 0, 'heading': 0}}"
gneJ1,439,DENM,120,4.0,4.1,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 1, 'subcause': 0, 'severity': 2}, 'location': {'lane': 'None', 'position': [0, 0, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,431,CAM,121,4.1,4.2,"{'station_id': 0.9625659684314782, 'leader': 'car2', 'speed': 10.399999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-48.58, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,431,CAM,123,4.2,4.3,"{'station_id': 0.9353389872323363, 'leader': 'car2', 'speed': 10.659999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-47.514, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,443,CAM,125,4.3,4.4,"{'station_id': 0.23254631305857132, 'leader': 'car2', 'speed': 10.919999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-46.422000000000004, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,431,CAM,127,4.4,4.5,"{'station_id': 0.19420442795418724, 'leader': 'car2', 'speed': 11.179999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-45.304, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,441,CAM,129,4.5,4.6,"{'station_id': 0.47349414988761507, 'leader': 'car2', 'speed': 11.439999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-44.16000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,442,CAM,131,4.6,4.7,"{'station_id': 0.32030205531500744, 'leader': 'car2', 'speed': 11.699999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-42.99000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,442,CAM,133,4.7,4.8,"{'station_id': 0.04116611754351607, 'leader': 'car2', 'speed': 11.959999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-41.79400000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,441,CAM,135,4.8,4.9,"{'station_id': 0.48381002847040677, 'leader': 'car2', 'speed': 12.219999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-40.57200000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
